
2025/05/14 (05:07:47) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/14 (05:07:51) | WARNING: Failed to join _runner thread on exit!

2025/05/14 (05:15:46) | ===> btop++ v.1.4.0
2025/05/14 (05:15:46) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/14 (05:15:48) | WARNING: Failed to join _runner thread on exit!

2025/05/14 (06:07:38) | ===> btop++ v.1.4.0
2025/05/14 (06:07:38) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/14 (06:08:14) | WARNING: Failed to join _runner thread on exit!

2025/05/14 (06:08:15) | ===> btop++ v.1.4.0
2025/05/14 (06:08:15) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/14 (06:08:16) | WARNING: Failed to join _runner thread on exit!

2025/05/14 (06:08:47) | ===> btop++ v.1.4.0
2025/05/14 (06:08:47) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/14 (06:08:50) | WARNING: Failed to join _runner thread on exit!

2025/05/14 (06:08:56) | ===> btop++ v.1.4.0
2025/05/14 (06:08:56) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/14 (06:08:59) | WARNING: Failed to join _runner thread on exit!

2025/05/15 (03:14:36) | ===> btop++ v.1.4.0
2025/05/15 (03:14:36) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/15 (03:14:50) | WARNING: Failed to join _runner thread on exit!

2025/05/15 (03:17:42) | ===> btop++ v.1.4.0
2025/05/15 (03:17:42) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/15 (03:18:52) | WARNING: Failed to join _runner thread on exit!

2025/05/15 (04:33:41) | ===> btop++ v.1.4.0
2025/05/15 (04:33:41) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/15 (04:34:12) | WARNING: Failed to join _runner thread on exit!

2025/05/18 (01:00:43) | ===> btop++ v.1.4.0
2025/05/18 (01:00:43) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/18 (01:01:08) | WARNING: Failed to join _runner thread on exit!

2025/05/18 (02:03:15) | ===> btop++ v.1.4.0
2025/05/18 (02:03:15) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/18 (16:54:36) | WARNING: Failed to join _runner thread on exit!

2025/05/22 (16:09:25) | ===> btop++ v.1.4.0
2025/05/22 (16:09:25) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/22 (16:09:30) | WARNING: Failed to join _runner thread on exit!

2025/05/22 (16:26:33) | ===> btop++ v.1.4.0
2025/05/22 (16:26:33) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/22 (16:26:40) | WARNING: Failed to join _runner thread on exit!

2025/05/23 (21:23:11) | ===> btop++ v.1.4.0
2025/05/23 (21:23:11) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/23 (21:23:14) | WARNING: Failed to join _runner thread on exit!

2025/05/27 (17:34:43) | ===> btop++ v.1.4.0
2025/05/27 (17:34:43) | WARNING: Intel GPU: Failed to initialize PMU
